Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),average_values,discount_column_with null to average _values ,OriginalPrice (in Rs),discount_offer_In_price,Discount in percentage,SizeOption,Ratings,Reviews,Discount_category,,,,
363049,Triumph,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1499,,0%,"34C, 34D, 34E, 36C, 36D, 36E, 36F, 38C, 38D, 38E, 38F, 38G, 40C, 40D, 40E, 40F, 40G, 42D, 42E, 42F, 42G, 44D, 44E, 44F, 44G",4.5,504,High_Discount,,,,
383104,Bitterlime,Western,leggings,Women,,470,470,999,299.7,30%,"M, L, XL, XXL",4.1,476,High_Discount,,,,
383106,Bitterlime,Western,leggings,Women,,470,470,999,299.7,30%,"M, L, XL, XXL",4.1,240,Low_Discount,,,,
393686,Jockey,Lingerie & Sleep Wear,briefs,Women,,602.52,602.52,399,,0%,"S, M, L, XL, XXL",4.2,783,Low_Discount,,,,
393791,Jockey,Western,tops,Women,,470,470,299,,0%,"S, M, L, XL",4.5,307,Low_Discount,,,,
393801,Jockey,Western,tops,Women,,470,470,299,,0%,"S, M, L, XL",4.3,377,Low_Discount,,,,
432861,Lebami,Lingerie & Sleep Wear,stockings,Women,449,602.52,449,599,149.75,25%,Onesize,4.3,557,High_Discount,,,,
452660,INVICTUS,Topwear,shirts,Men,949,709.5,949,1899,949.5,50%,"37, 38, 39, 40, 42, 44",4.1,723,High_Discount,,,,
453683,Sand Dune,Lingerie & Sleep Wear,bath-robe,Women,749,602.52,749,999,249.75,25%,"L, XL",3.7,270,Low_Discount,,,,
453688,Sand Dune,Lingerie & Sleep Wear,bath-robe,Women,749,602.52,749,999,249.75,25%,"L, XL",3.9,329,High_Discount,,,,
453695,Sand Dune,Lingerie & Sleep Wear,bath-robe,Women,749,602.52,749,999,249.75,25%,"L, XL",4,455,High_Discount,,,,
486785,INVICTUS,Topwear,shirts,Men,854,709.5,854,1899,1044.45,55%,"38, 39, 40, 42, 44",4.2,436,Low_Discount,,,,
486789,INVICTUS,Topwear,shirts,Men,799,709.5,799,1599,799.5,50%,"37, 38, 39, 40, 42, 44",3.8,606,Low_Discount,,,,
486791,INVICTUS,Topwear,shirts,Men,879,709.5,879,1599,719.55,45%,"37, 38, 39, 40, 42, 44",4.1,734,Low_Discount,,,,
506710,Clovia,Lingerie & Sleep Wear,shapewear,Women,719,602.52,719,1999,1279.36,64%,"S/M, L/XL",3.3,261,High_Discount,,,,
516574,Jockey,Inner Wear &  Sleep Wear,briefs,Men,,530.36,530.36,477,,0%,"S, M, L, XL",4.5,373,Low_Discount,,,,
517004,Jockey,Sports Wear,tshirts,Men,,793.18,793.18,509,,0%,"S, M, L, XL",4.5,442,High_Discount,,,,
521124,Jockey,Lingerie & Sleep Wear,camisoles,Women,,602.52,602.52,279,,0%,"S, M, L, XL",4,270,High_Discount,,,,
549615,Campus Sutra,Western,sweatshirts,Women,,470,470,1699,849.5,50%,"S, M, L, XL",4.3,331,High_Discount,,,,
567297,Masha,Lingerie & Sleep Wear,nightdress,Women,579,602.52,579,849,270,32%,Onesize,4,255,Low_Discount,,,,
567299,Masha,Lingerie & Sleep Wear,nightdress,Women,579,602.52,579,849,270,32%,Onesize,4.1,298,High_Discount,,,,
567301,Masha,Lingerie & Sleep Wear,nightdress,Women,579,602.52,579,849,270,32%,Onesize,4.2,314,High_Discount,,,,
567304,Masha,Lingerie & Sleep Wear,nightdress,Women,579,602.52,579,849,270,32%,Onesize,4.1,271,High_Discount,,,,
567305,Masha,Lingerie & Sleep Wear,nightdress,Women,579,602.52,579,849,270,32%,Onesize,4.1,338,High_Discount,,,,
596470,Belle Fille,Western,sweatshirts,Women,,470,470,1595,957,60%,"S, M, L, XL, XXL",3.8,253,High_Discount,,,,
596473,Belle Fille,Western,sweatshirts,Women,,470,470,1595,957,60%,"S, M, L, XL, XXL",3.6,978,Low_Discount,,,,
596474,Belle Fille,Western,sweatshirts,Women,,470,470,1595,957,60%,"S, M, L, XL, XXL",3.7,588,Low_Discount,,,,
596475,Belle Fille,Western,sweatshirts,Women,,470,470,1595,957,60%,"S, M, L, XL, XXL",3.5,310,High_Discount,,,,
596480,Belle Fille,Western,sweatshirts,Women,,470,470,1595,957,60%,"S, M, L, XL, XXL",3.4,817,Low_Discount,,,,
618673,Mast & Harbour,Inner Wear &  Sleep Wear,socks,Men,179,530.36,179,449,269.4,60%,Onesize,4.2,888,Low_Discount,,,,
637855,Amante,Lingerie & Sleep Wear,bra,Women,679,602.52,679,1045,365.75,35%,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D",4.3,274,Low_Discount,,,,
637856,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1045,,0%,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D",4.4,296,Low_Discount,,,,
637859,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,595,,0%,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",3.8,335,Low_Discount,,,,
637861,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,695,,0%,"34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",4.1,240,Low_Discount,,,,
637863,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,695,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B, 38C, 38D, 38DD, 40C, 40D",4.3,441,High_Discount,,,,
650552,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,699,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C",4.4,410,High_Discount,,,,
650555,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,699,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C",4.3,590,High_Discount,,,,
650556,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,699,,0%,"32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38C, 38D, 40B, 40C, 40D, 42B, 42C",4.3,267,High_Discount,,,,
650557,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,699,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C",4.3,396,Low_Discount,,,,
650558,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,699,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C",4.3,349,Low_Discount,,,,
650564,Enamor,Lingerie & Sleep Wear,bra,Women,314,602.52,314,449,134.7,30%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C",4.4,277,Low_Discount,,,,
652387,Jockey,Inner Wear &  Sleep Wear,boxers,Men,,530.36,530.36,798,,0%,"S, M, L, XL, XXL",4.3,784,High_Discount,,,,
691963,La Zoire,Western,dresses,Women,,470,470,1399,671.52,48%,"S, M, L, XL",4.3,683,High_Discount,,,,
711768,Klamotten,Lingerie & Sleep Wear,nightdress,Women,519,602.52,519,799,279.65,35%,Onesize,3.9,549,High_Discount,,,,
719291,Campus Sutra,Western,tshirts,Women,,470,470,799,439.45,55%,"S, M, L, XL",4.1,256,Low_Discount,,,,
733684,Harpa,Western,tops,Women,,470,470,999,469.53,47%,"S, M, L, XL",4.1,438,High_Discount,,,,
744055,Miss Chase,Western,tops,Women,,470,470,599,101.83,17%,"XS, S, M, L, XL",4.1,406,Low_Discount,,,,
744398,Belle Fille,Western,shorts,Women,,470,470,999,499.5,50%,"26, 28, 30, 32, 36",3.2,553,High_Discount,,,,
762401,Floret,Lingerie & Sleep Wear,bra,Women,753,602.52,753,837,83.7,10%,"30B, 32B, 34B, 36B, 38B, 40B",4,354,High_Discount,,,,
762418,Floret,Lingerie & Sleep Wear,bra,Women,844,602.52,844,938,93.8,10%,"32B, 34B, 36B, 38B, 40B",4.2,830,High_Discount,,,,
762420,Floret,Lingerie & Sleep Wear,bra,Women,844,602.52,844,938,93.8,10%,"32B, 34B, 36B, 38B, 40B",4.1,738,High_Discount,,,,
762421,Floret,Lingerie & Sleep Wear,bra,Women,844,602.52,844,938,93.8,10%,"32B, 34B, 36B, 38B, 40B",4,321,Low_Discount,,,,
762440,Floret,Lingerie & Sleep Wear,bra,Women,739,602.52,739,778,38.9,5%,"30B, 32B, 34B, 36B, 38B, 40B, 42B, 44B",4.3,565,High_Discount,,,,
762441,Floret,Lingerie & Sleep Wear,bra,Women,739,602.52,739,778,38.9,5%,"30B, 32B, 34B, 36B, 38B, 40B, 42B, 44B",4.2,314,High_Discount,,,,
762444,Floret,Lingerie & Sleep Wear,bra,Women,739,602.52,739,778,38.9,5%,"30B, 32B, 34B, 36B, 38B, 40B, 42B, 44B",4.2,346,Low_Discount,,,,
762463,Floret,Lingerie & Sleep Wear,bra,Women,645,602.52,645,717,71.7,10%,"30B, 32B, 34B, 36B, 38B, 40B",4,392,Low_Discount,,,,
771761,FabAlley,Western,tshirts,Women,,470,470,850,425,50%,"S, M, L, XL",3.9,244,High_Discount,,,,
782799,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL, XXL",3.8,973,Low_Discount,,,,
782801,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL, XXL",3.9,240,Low_Discount,,,,
782805,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL, XXL",3.8,371,Low_Discount,,,,
782806,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL, XXL",3.8,431,Low_Discount,,,,
782817,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL, XXL",3.8,890,High_Discount,,,,
782889,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL",4.2,466,Low_Discount,,,,
782913,Softrose,Lingerie & Sleep Wear,briefs,Women,485,602.52,485,607,121.4,20%,"S, M, L, XL, XXL",4.1,655,High_Discount,,,,
785355,Amante,Lingerie & Sleep Wear,bra,Women,417,602.52,417,695,278,40%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40C, 40D",3.9,243,Low_Discount,,,,
785357,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1295,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",4.4,252,High_Discount,,,,
807931,La Zoire,Western,tops,Women,,470,470,699,139.8,20%,"S, M, L, XL",4.3,868,Low_Discount,,,,
818157,Floret,Lingerie & Sleep Wear,camisoles,Women,788,602.52,788,876,87.6,10%,"S, M, L, XL, XXL",4.2,380,Low_Discount,,,,
823857,Bodycare,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,765,,0%,"30B, 32B, 34B, 36B, 38B, 40B",3.8,248,Low_Discount,,,,
832430,INVICTUS,Topwear,shirts,Men,899,709.5,899,1799,899.5,50%,"38, 39, 40, 42, 44",4.3,566,High_Discount,,,,
851425,Floret,Lingerie & Sleep Wear,bra,Women,645,602.52,645,717,71.7,10%,"30B, 32B, 34B, 36B, 38B, 40B",3.9,907,Low_Discount,,,,
851428,Floret,Lingerie & Sleep Wear,bra,Women,645,602.52,645,717,71.7,10%,"30B, 32B, 34B, 36B, 38B, 40B",4.1,366,High_Discount,,,,
851435,Floret,Lingerie & Sleep Wear,bra,Women,966,602.52,966,1017,50.85,5%,"30B, 32B, 34B, 36B, 38B, 40B",4.3,770,High_Discount,,,,
851439,Floret,Lingerie & Sleep Wear,bra,Women,966,602.52,966,1017,50.85,5%,"30B, 32B, 34B, 36B, 38B, 40B",4.4,285,High_Discount,,,,
859279,U.S. Polo Assn.,Inner Wear &  Sleep Wear,boxers,Men,636,530.36,636,749,112.35,15%,"S, M, L, XL, XXL",4.5,361,High_Discount,,,,
865719,Enamor,Lingerie & Sleep Wear,camisoles,Women,,602.52,602.52,299,,0%,"S, M, L, XL",4.4,321,High_Discount,,,,
865721,Enamor,Lingerie & Sleep Wear,camisoles,Women,,602.52,602.52,299,,0%,"S, M, L, XL",4.4,684,Low_Discount,,,,
867504,Roadster,Topwear,tshirts,Men,584,709.5,584,1299,714.45,55%,"S, M, L, XL",4.2,631,High_Discount,,,,
867994,INVICTUS,Topwear,shirts,Men,899,709.5,899,1999,1099.45,55%,"38, 39, 40, 42, 44",4.4,255,Low_Discount,,,,
886039,Campus Sutra,Topwear,sweatshirts,Men,730,709.5,730,1699,968.43,57%,"S, M, L, XL, XXL",4,249,High_Discount,,,,
902394,Ishin,Indian Wear,sarees,Women,1775,1059.22,1775,3699,1923.48,52%,Onesize,4.3,474,Low_Discount,,,,
914994,Floret,Lingerie & Sleep Wear,bra,Women,952,602.52,952,1058,105.8,10%,"30B, 32B, 34B, 36B, 38B, 40B",4.3,727,Low_Discount,,,,
915045,Floret,Lingerie & Sleep Wear,bra,Women,910,602.52,910,958,47.9,5%,"30B, 32B, 34B, 36B, 38B, 40B",4.1,320,High_Discount,,,,
915068,Floret,Lingerie & Sleep Wear,bra,Women,807,602.52,807,897,89.7,10%,"30B, 32B, 34B, 36B, 38B, 40B",4.1,289,High_Discount,,,,
919032,Roadster,Western,tshirts,Women,,470,470,899,494.45,55%,"XS, S, M, L, XL",4,317,Low_Discount,,,,
934884,Floret,Lingerie & Sleep Wear,camisoles,Women,618,602.52,618,687,68.7,10%,"S, M, L, XL, XXL",4.3,450,High_Discount,,,,
934885,Floret,Lingerie & Sleep Wear,camisoles,Women,618,602.52,618,687,68.7,10%,"S, M, L, XL, XXL",4.2,249,High_Discount,,,,
946402,Campus Sutra,Western,jackets,Women,,470,470,2699,1619.4,60%,"S, M, L, XL",3.5,370,High_Discount,,,,
976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,359,530.36,359,599,239.6,40%,Onesize,4.5,987,High_Discount,,,,
993974,Besiva,Western,tops,Women,,470,470,999,249.75,25%,"S, M, L, XL",4.3,433,High_Discount,,,,
998931,Shaftesbury London,Topwear,shirts,Men,599,709.5,599,1999,1399.3,70%,"36, 38, 40, 42, 44, 46, 48, 50, 52, 54",3.9,581,High_Discount,,,,
998934,Shaftesbury London,Topwear,shirts,Men,599,709.5,599,1999,1399.3,70%,"36, 38, 40, 42, 44, 46, 48, 50, 52, 54",4.1,241,Low_Discount,,,,
1010442,Belle Fille,Western,jackets,Women,,470,470,1599,959.4,60%,"S, M, L, XL, XXL",3.4,696,High_Discount,,,,
1010448,Belle Fille,Western,sweatshirts,Women,,470,470,1599,959.4,60%,"S, M, L, XL, XXL",3.9,472,High_Discount,,,,
1027232,ether,Topwear,shirts,Men,764,709.5,764,1699,934.45,55%,"38, 40, 42, 44",4.3,313,High_Discount,,,,
1028561,Clovia,Lingerie & Sleep Wear,baby-dolls,Women,335,602.52,335,799,463.42,58%,"S, M, L, XL",4,356,Low_Discount,,,,
1028565,Clovia,Lingerie & Sleep Wear,baby-dolls,Women,279,602.52,279,799,519.35,65%,"S, M, L, XL",3.9,586,High_Discount,,,,
1038959,INVICTUS,Topwear,shirts,Men,899,709.5,899,1999,1099.45,55%,"38, 39, 40, 42, 44",4.1,597,High_Discount,,,,
1038969,INVICTUS,Topwear,shirts,Men,1034,709.5,1034,2299,1264.45,55%,"38, 39, 40, 42, 44",4.2,241,Low_Discount,,,,
1051098,Go Colors,Indian Wear,leggings,Women,,1059.22,1059.22,599,,0%,"S, M, L, XL",4.5,278,High_Discount,,,,
1081753,Secret Wish,Lingerie & Sleep Wear,nightdress,Women,539,602.52,539,999,459.54,46%,Onesize,4,749,High_Discount,,,,
1085485,RARE,Western,dresses,Women,,470,470,1699,951.44,56%,"S, M, L, XL",4.3,661,High_Discount,,,,
1085630,Mast & Harbour,Western,tops,Women,,470,470,699,314.55,45%,"XS, S, M, L, XL",4.3,679,High_Discount,,,,
1086722,INVICTUS,Topwear,shirts,Men,719,709.5,719,1799,1079.4,60%,"38, 39, 40, 42, 44",4.3,266,High_Discount,,,,
1086723,INVICTUS,Topwear,shirts,Men,809,709.5,809,1799,989.45,55%,"38, 39, 40, 42, 44",4.1,481,Low_Discount,,,,
1086729,INVICTUS,Topwear,shirts,Men,989,709.5,989,1799,809.55,45%,"38, 39, 40, 42, 44",3.9,681,High_Discount,,,,
1086730,INVICTUS,Topwear,shirts,Men,809,709.5,809,1799,989.45,55%,"38, 39, 40, 42, 44",4.3,511,Low_Discount,,,,
1086732,INVICTUS,Topwear,shirts,Men,759,709.5,759,1899,1139.4,60%,"38, 39, 40, 42, 44",4,287,High_Discount,,,,
1086741,INVICTUS,Topwear,shirts,Men,949,709.5,949,1899,949.5,50%,"38, 39, 40, 42, 44",4.3,432,High_Discount,,,,
1086748,INVICTUS,Topwear,shirts,Men,989,709.5,989,1799,809.55,45%,"38, 39, 40, 42, 44",4.3,371,High_Discount,,,,
1086758,INVICTUS,Topwear,shirts,Men,1099,709.5,1099,2199,1099.5,50%,"38, 39, 40, 42, 44",4.1,376,Low_Discount,,,,
1097633,Mast & Harbour,Topwear,tshirts,Men,584,709.5,584,1299,714.45,55%,"S, M, L, XL",4.1,428,Low_Discount,,,,
1109295,RARE,Western,tops,Women,,470,470,999,469.53,47%,"S, M, L, XL",4,864,Low_Discount,,,,
1109329,RARE,Western,tops,Women,,470,470,1199,611.49,51%,"S, M, L, XL",4.1,302,High_Discount,,,,
1110027,Nike,Sports Wear,tshirts,Men,1165,793.18,1165,1295,129.5,10%,"S, M, L, XL, XXL",3.9,520,High_Discount,,,,
1117222,INVICTUS,Bottom Wear,trousers,Men,989,920.93,989,2199,1209.45,55%,"30, 32, 34, 36",4,284,High_Discount,,,,
1147938,ether,Western,tshirts,Women,,470,470,999,649.35,65%,"XS, S, M, L, XL, XXL",4,573,Low_Discount,,,,
1155791,ether,Topwear,shirts,Men,674,709.5,674,1499,824.45,55%,"38, 40, 42, 44",4,567,Low_Discount,,,,
1155795,ether,Topwear,shirts,Men,719,709.5,719,1599,879.45,55%,"38, 40, 42, 44",4.2,910,Low_Discount,,,,
1164597,Softrose,Western,tights,Women,,470,470,699,139.8,20%,"S, M, L, XL, XXL",4.3,562,High_Discount,,,,
1164605,Softrose,Western,tights,Women,,470,470,699,139.8,20%,"S, M, L, XL, XXL",4.4,283,High_Discount,,,,
1164692,Softrose,Western,tights,Women,,470,470,349,17.45,5%,"S, M, L, XL, XXL",4.4,680,High_Discount,,,,
1189634,Hubberholme,Bottom Wear,track-pants,Men,519,920.93,519,1299,779.4,60%,"S, M, L, XL, XXL, 3XL, 4XL",4,304,High_Discount,,,,
1199568,INVICTUS,Bottom Wear,trousers,Men,899,920.93,899,1799,899.5,50%,"30, 32, 34, 36",4.1,887,High_Discount,,,,
1199569,INVICTUS,Bottom Wear,trousers,Men,899,920.93,899,1799,899.5,50%,"30, 32, 34, 36",4.2,899,High_Discount,,,,
1207931,ether,Topwear,shirts,Men,854,709.5,854,1899,1044.45,55%,"38, 40, 42, 44",4,681,High_Discount,,,,
1217448,ether,Western,tshirts,Women,,470,470,799,559.3,70%,"XS, S, M, L, XL",4.3,562,High_Discount,,,,
1222322,GRITSTONES,Topwear,tshirts,Men,400,709.5,400,549,148.23,27%,"S, M, L, XL",4.4,284,High_Discount,,,,
1226060,Bitterlime,Western,leggings,Women,,470,470,999,349.65,35%,"S, M, L, XL, XXL, 3XL",3.8,771,Low_Discount,,,,
1226064,Bitterlime,Western,leggings,Women,,470,470,999,349.65,35%,"S, M, L, XL, XXL, 3XL",3.7,304,Low_Discount,,,,
1226065,Bitterlime,Western,leggings,Women,,470,470,999,349.65,35%,"S, M, L, XL, XXL, 3XL",3.9,308,High_Discount,,,,
1237053,Roadster,Western,tshirts,Women,,470,470,899,494.45,55%,"XS, S, M, L, XL",4,434,Low_Discount,,,,
1237437,Roadster,Western,sweaters,Women,,470,470,1299,909.3,70%,"XS, S, M, L, XL, XXL",4.3,308,High_Discount,,,,
1244305,DressBerry,Western,tops,Women,,470,470,1349,741.95,55%,"XS, S, M, L, XL",4.2,881,High_Discount,,,,
1259492,Ishin,Indian Wear,sarees,Women,499,1059.22,499,999,499.5,50%,Onesize,3.5,239,Low_Discount,,,,
1270768,ether,Western,tshirts,Women,,470,470,649,421.85,65%,"XS, S, M, L, XL",4.1,835,High_Discount,,,,
1270779,ether,Bottom Wear,track-pants,Men,674,920.93,674,1499,824.45,55%,"S, M, L, XL, XXL",3.6,261,High_Discount,,,,
1270790,ether,Western,track-pants,Women,,470,470,1299,800,62%,"XS, S, M, L, XL, XXL",4.3,292,High_Discount,,,,
1271314,Mast & Harbour,Bottom Wear,jeans,Men,699,920.93,699,1999,1299.35,65%,"28, 30, 32, 34, 36",4,664,Low_Discount,,,,
1271542,INVICTUS,Topwear,shirts,Men,809,709.5,809,1799,989.45,55%,"38, 39, 40, 42, 44",4.2,856,High_Discount,,,,
1272041,Campus Sutra,Western,tshirts,Women,,470,470,699,349.5,50%,"S, M, L, XL",4,403,Low_Discount,,,,
1272043,Campus Sutra,Western,tshirts,Women,,470,470,699,384.45,55%,"S, M, L, XL",3.7,293,Low_Discount,,,,
1272492,HIGHLANDER,Topwear,shirts,Men,439,709.5,439,999,559.44,56%,"39, 40, 42, 44, 46",4.2,864,High_Discount,,,,
1272494,HIGHLANDER,Topwear,shirts,Men,569,709.5,569,999,429.57,43%,"39, 40, 42, 44, 46",4.2,745,Low_Discount,,,,
1272495,HIGHLANDER,Topwear,shirts,Men,599,709.5,599,999,399.6,40%,"38, 39, 40, 42, 44",4,618,High_Discount,,,,
1277684,Roadster,Topwear,tshirts,Men,399,709.5,399,799,399.5,50%,"XS, S, M, L, XL",4.1,697,Low_Discount,,,,
1279418,Roadster,Topwear,jackets,Men,1359,709.5,1359,3399,2039.4,60%,"S, M, L, XL, XXL",4.2,782,Low_Discount,,,,
1284724,ether,Bottom Wear,trousers,Men,1099,920.93,1099,2199,1099.5,50%,"28, 30, 32, 34, 36",4.2,511,High_Discount,,,,
1291965,INVICTUS,Topwear,tshirts,Men,539,709.5,539,1199,659.45,55%,"S, M, L, XL, XXL",4,456,Low_Discount,,,,
1291966,INVICTUS,Topwear,tshirts,Men,599,709.5,599,1199,599.5,50%,"S, M, L, XL, XXL",4.2,449,Low_Discount,,,,
1297703,ether,Western,tops,Women,,470,470,1099,600,55%,"XS, S, M, L, XL",4,525,High_Discount,,,,
